panel,condition_id,history,trajectory,seed,window_index,origin,profile,profile_name,clip_q1,clip_q2,clip_q3,history_sha256,past_actions_sha256,branch_buffer_sha256,requested_actions_sha256,applied_actions_sha256,future_noise_sha256,truth_sha256,past_replay_max_abs_delta,base_future_max_abs_delta
A,A_h00_p00,0,fresh_000,2026091100,440,459,0,base,0,0,0,fb0ea652a734937b8ddf3c12daf52e1c329c899ac2ec2a1a064a6b42bdd4daa5,fbdb3682e31dd8810baeec5c001de20f2b253fc04a85b25ae49df5ea07502cf6,ac0ce342db48999ebd06d5fa67016fd65261c0aa9130eab47d0ce0bb5b2649c3,53facdd3f63849a555a15182fe13ed86589147cd67387816ac0d7fb7a0744505,53facdd3f63849a555a15182fe13ed86589147cd67387816ac0d7fb7a0744505,430b43f43904c5397aa6096c064955ba79261a0365ae7872a11e746368b8f298,a916d689e03c245c08d58a4e054ca8fe92a6b32b5216932b55d86763a3e2a249,0.0,0.0
A,A_h00_p01,0,fresh_000,2026091100,440,459,1,q1_plus,13,0,0,fb0ea652a734937b8ddf3c12daf52e1c329c899ac2ec2a1a064a6b42bdd4daa5,fbdb3682e31dd8810baeec5c001de20f2b253fc04a85b25ae49df5ea07502cf6,ac0ce342db48999ebd06d5fa67016fd65261c0aa9130eab47d0ce0bb5b2649c3,87789a335d2410c0ae1985d10a9da58a962b05d2134f8fb9b6ea07e8854dc5c2,eba02e5c5d9241bfea9f69d552625d5c0f105aae23cb3629151bcc951e93c6ce,430b43f43904c5397aa6096c064955ba79261a0365ae7872a11e746368b8f298,64b6ff696f5aa92c210bb5a2020b9a1e46d324f12f6153c44a04fc42a22ccefd,0.0,
A,A_h00_p02,0,fresh_000,2026091100,440,459,2,q1_minus,7,0,0,fb0ea652a734937b8ddf3c12daf52e1c329c899ac2ec2a1a064a6b42bdd4daa5,fbdb3682e31dd8810baeec5c001de20f2b253fc04a85b25ae49df5ea07502cf6,ac0ce342db48999ebd06d5fa67016fd65261c0aa9130eab47d0ce0bb5b2649c3,c8b495923185ca6d166f1175dc55746ee51b31dd3b6a206d4a378e971e359fd5,e710965c737755da744b08bab134ad728c2bd2f4574d14b52eeeb53fbbe5ce20,430b43f43904c5397aa6096c064955ba79261a0365ae7872a11e746368b8f298,d8dc956b67a29cdebfc6dc237704b55fdecbf88a0468765e503fa6ec49af4a0e,0.0,
A,A_h00_p03,0,fresh_000,2026091100,440,459,3,q2_plus,0,9,0,fb0ea652a734937b8ddf3c12daf52e1c329c899ac2ec2a1a064a6b42bdd4daa5,fbdb3682e31dd8810baeec5c001de20f2b253fc04a85b25ae49df5ea07502cf6,ac0ce342db48999ebd06d5fa67016fd65261c0aa9130eab47d0ce0bb5b2649c3,0aa4c457304d9bc4b8f52a49a0847fe33427504579b01f5baa0ce70a80891c39,8782f9d65fea47db5cef2db00153b9100502bf06e3193658d1fec4fe63d1db6e,430b43f43904c5397aa6096c064955ba79261a0365ae7872a11e746368b8f298,e8427b53c466e1080f01f1ba986cdf3965809292a0be44536d8322840a159aab,0.0,
A,A_h00_p04,0,fresh_000,2026091100,440,459,4,q2_minus,0,9,0,fb0ea652a734937b8ddf3c12daf52e1c329c899ac2ec2a1a064a6b42bdd4daa5,fbdb3682e31dd8810baeec5c001de20f2b253fc04a85b25ae49df5ea07502cf6,ac0ce342db48999ebd06d5fa67016fd65261c0aa9130eab47d0ce0bb5b2649c3,4614f9d6dad530eb3631a643c7ebe1fc9cc56b9092acdf7ff15b3465df5ca0ec,cec11f0b2a001784142be4c457c87cc875161f7485fb8cabbb2e284b570d0643,430b43f43904c5397aa6096c064955ba79261a0365ae7872a11e746368b8f298,3abe6226b2c49c4f866d49328444189d188eb80a348cad0a7e5528369f6de5cc,0.0,
A,A_h00_p05,0,fresh_000,2026091100,440,459,5,q3_plus,0,0,11,fb0ea652a734937b8ddf3c12daf52e1c329c899ac2ec2a1a064a6b42bdd4daa5,fbdb3682e31dd8810baeec5c001de20f2b253fc04a85b25ae49df5ea07502cf6,ac0ce342db48999ebd06d5fa67016fd65261c0aa9130eab47d0ce0bb5b2649c3,ad9a94ef57f0d7df20ad0fab6dbbb5d7fa9310f5ed06d0ec1b5561dd91a5ee0c,46f331b588792d75f79c99e09bdf22bd9b389e00d7d25406c634cceca82777c3,430b43f43904c5397aa6096c064955ba79261a0365ae7872a11e746368b8f298,bf510c3c63439a9dce9940c889a66927b0363a8813ddcf4d944e930444795bd7,0.0,
A,A_h00_p06,0,fresh_000,2026091100,440,459,6,q3_minus,0,0,11,fb0ea652a734937b8ddf3c12daf52e1c329c899ac2ec2a1a064a6b42bdd4daa5,fbdb3682e31dd8810baeec5c001de20f2b253fc04a85b25ae49df5ea07502cf6,ac0ce342db48999ebd06d5fa67016fd65261c0aa9130eab47d0ce0bb5b2649c3,e66a4aa82f9c3592634c7bbbdab94dd57e083d192c84b9eb2916d154d3ea19af,52ecde45819177961bbd085a5d0a87c101b7312caac16afa223bad970d96038b,430b43f43904c5397aa6096c064955ba79261a0365ae7872a11e746368b8f298,ff837c5637a02ae017b74a81fb714a2197266daeba094410b1a55f8b3270a1eb,0.0,
A,A_h01_p00,1,fresh_001,2026092109,440,459,0,base,0,0,0,c66950ea62bced163f59ef4f66ff347eb59e066ec3c194f88716eaae644c6e93,36d7ba206ec8713b73ab630c0ff480c39fc2164a45b778559c958bb0f34e89a6,110cbfa99bd1377e36d2ee78db2e0564a7b53e8941f0a3ebb955293086d441b3,1e37e5c37354a49276d99b2e44f59ff2091e12fbeba4d47ce3d10420a3091282,1e37e5c37354a49276d99b2e44f59ff2091e12fbeba4d47ce3d10420a3091282,94e4ee672e2bc12bac3375fe2491eb6bdcbabb3b601a0451f8ecd965a5ee2999,37e5352f15c2d934ba61f47ed067386f2f17eca4620de2237e8829d14b8f13eb,0.0,0.0
A,A_h01_p01,1,fresh_001,2026092109,440,459,1,q1_plus,16,0,0,c66950ea62bced163f59ef4f66ff347eb59e066ec3c194f88716eaae644c6e93,36d7ba206ec8713b73ab630c0ff480c39fc2164a45b778559c958bb0f34e89a6,110cbfa99bd1377e36d2ee78db2e0564a7b53e8941f0a3ebb955293086d441b3,cf96820d30b337ec5a7e3da85f317628354b36db7d805fff50f1530703a94c35,e3a424b4468c2c5803ed599b53049d29e461b6086dc6f381e9b73a15db2332d1,94e4ee672e2bc12bac3375fe2491eb6bdcbabb3b601a0451f8ecd965a5ee2999,66d49cfd33b3b49ac7e2813e2579b3161f31ba1723781065a105a1ee55fda3d0,0.0,
A,A_h01_p02,1,fresh_001,2026092109,440,459,2,q1_minus,9,0,0,c66950ea62bced163f59ef4f66ff347eb59e066ec3c194f88716eaae644c6e93,36d7ba206ec8713b73ab630c0ff480c39fc2164a45b778559c958bb0f34e89a6,110cbfa99bd1377e36d2ee78db2e0564a7b53e8941f0a3ebb955293086d441b3,09fdb9e4bf25d3fc7118f8203fb8f8b150d45e8f746e92f2c3bddffdc8c4a4eb,8b658e38538caec481e7d69c366f1412d2d627eb626a7400f9575c7693439bd4,94e4ee672e2bc12bac3375fe2491eb6bdcbabb3b601a0451f8ecd965a5ee2999,4dfc94dd3c3595afde89cbd5b49a2087119353f7297259b976ea2979875e6465,0.0,
