panel,model,group,conditions,horizon,endpoint_mean,endpoint_min,endpoint_max,cumulative_mean,cumulative_min,cumulative_max
A,mlp_koopman,all_conditions,84,1,0.002835346974443166,0.001266787063047209,0.006248890228732843,0.002835346974443166,0.001266787063047209,0.006248890228732843
A,mlp_koopman,all_conditions,84,2,0.00929684894768261,0.005314436995060367,0.01685013421504723,0.006901792978503266,0.004055403771316639,0.012133418004802736
A,mlp_koopman,all_conditions,84,3,0.007621404238740541,0.0026902996998409002,0.01168944173705727,0.0072315696817867635,0.0037619154211166023,0.01196386981110393
A,mlp_koopman,all_conditions,84,4,0.010377483907465769,0.006299465927709106,0.017365026431877956,0.008189909193360564,0.005222895997434154,0.012949700634055768
A,mlp_koopman,all_conditions,84,5,0.012825869749082196,0.0076513655707421925,0.0212796331065425,0.009351863652340257,0.00629433439002945,0.013691422322560228
A,mlp_koopman,all_conditions,84,6,0.013112204974020113,0.008328655522077434,0.023374293040822832,0.01012198721299146,0.006796515234221557,0.01556931928238758
A,mlp_koopman,all_conditions,84,7,0.013798441144148845,0.008325799414534535,0.028494699542907828,0.010775442322639875,0.007428821738844365,0.01665758739467015
A,mlp_koopman,all_conditions,84,8,0.0142316724555419,0.007875594194551343,0.03306102561602554,0.011311961136215251,0.007543078069676859,0.018671182023323865
A,mlp_koopman,all_conditions,84,9,0.01359921466533281,0.0040642343913527305,0.036939590925770246,0.01163247813141059,0.007409385879689879,0.02148238990157076
A,mlp_koopman,all_conditions,84,10,0.013082707065149243,0.0049542174075750105,0.04264200347075759,0.01184510977192702,0.007636855579608817,0.024437221902147727
A,mlp_koopman,all_conditions,84,11,0.013992218197484352,0.003672925520841865,0.05266667288436564,0.012118015138213367,0.00775040789440016,0.02819664160475477
A,mlp_koopman,all_conditions,84,12,0.0152161507393921,0.005393325076988037,0.06008128019340133,0.012484914923580346,0.00787481080241821,0.032087532372837665
A,mlp_koopman,all_conditions,84,13,0.016403118396777206,0.004848658849694773,0.06427899451830617,0.012919183236782816,0.007860263173042384,0.03561234222269155
A,mlp_koopman,all_conditions,84,14,0.017986590577964628,0.0064541412103476786,0.07556436022691766,0.013457344892227224,0.007802886042010193,0.03981840787349729
A,mlp_koopman,all_conditions,84,15,0.019341149204322096,0.004300316328710013,0.09021303018625282,0.014030930294201046,0.007629609835327364,0.044970708461922505
A,mlp_koopman,all_conditions,84,16,0.02160649934407563,0.005591994978514054,0.10552373797071363,0.014715833139089429,0.007518454800645488,0.05091090782485877
A,mlp_koopman,all_conditions,84,17,0.02260705493887273,0.005793697532010974,0.12402233432755189,0.015418269671210925,0.007541315532167406,0.057829499891478814
A,mlp_koopman,all_conditions,84,18,0.024446378059621406,0.005454033703864745,0.14338154810169992,0.016176729145512887,0.007685289730077754,0.06557884835020926
A,mlp_koopman,all_conditions,84,19,0.02600447263922311,0.0060143125326072595,0.16067840967839728,0.01696419255000741,0.007722926768624877,0.07370927516216176
A,mlp_koopman,all_conditions,84,20,0.02861539918007897,0.006976107652868902,0.18181301557486718,0.01786384938057855,0.0077354391003896595,0.08254818601463061
A,mlp_koopman,all_conditions,84,21,0.031007679087083757,0.005585536525792056,0.20688480300646375,0.01884694420506211,0.0077754385272292125,0.09234649605365561
A,mlp_koopman,all_conditions,84,22,0.03324136057239488,0.005371743907758419,0.22467445816200263,0.0198466673412258,0.007888501242122717,0.10215051153512597
A,mlp_koopman,all_conditions,84,23,0.034951390952451374,0.005109013417125653,0.24318338564645006,0.020848081468849942,0.008001751833921968,0.11203690253972494
A,mlp_koopman,all_conditions,84,24,0.037700682203363166,0.0045908203806719235,0.2645296026259826,0.02191761785882157,0.008057882933091213,0.1222494144279541
