panel,model,group,conditions,horizon,endpoint_mean,endpoint_min,endpoint_max,cumulative_mean,cumulative_min,cumulative_max
A,mlp_koopman,all_conditions,84,20,0.02861539918007897,0.006976107652868902,0.18181301557486718,0.01786384938057855,0.0077354391003896595,0.08254818601463061
A,mlp_koopman,all_conditions,84,30,0.05598078736365305,0.005935317622578931,0.4085187722601307,0.02946552543802574,0.009715591363144144,0.18944078625190866
A,mlp_koopman,all_conditions,84,50,0.15515434461222477,0.016911990138323077,1.0583366365823883,0.07365485592208756,0.012295537432281593,0.5158802784582001
A,mlp_koopman,all_conditions,84,60,0.22981333316937438,0.01836144967350484,1.3462433542751255,0.10585551431137413,0.01614108704764754,0.6786818248360386
A,mlp_koopman,all_conditions,84,100,0.7219767263627089,0.02898733297285644,2.2914188598204084,0.31903832658513226,0.02642927766182897,1.1647582279157176
B,mlp_koopman,all_conditions,84,20,0.026929754854697813,0.00806857558977484,0.12341901588901633,0.01773353522798175,0.007937389689772463,0.0685962138347222
B,mlp_koopman,all_conditions,84,30,0.052290841181825046,0.01024414247410564,0.2924962777002512,0.028110965351590703,0.00927906927442558,0.12301216138742901
B,mlp_koopman,all_conditions,84,50,0.15231354584523982,0.017292209972020862,0.8479400114488995,0.07107556328698553,0.012295537432281593,0.38848422403209426
B,mlp_koopman,all_conditions,84,60,0.2496819300261028,0.015607494851870055,1.2676087903792757,0.10786598058945389,0.01614108704764754,0.5659731150528415
B,mlp_koopman,all_conditions,84,100,0.7709157295628934,0.04698086554970134,2.733037644300721,0.3390562360594632,0.02642927766182897,1.3603422090417572
A,lstm_koopman,all_conditions,84,20,0.02888195607185114,0.005260829924962037,0.1958383630680694,0.019070947988075994,0.009207411057417717,0.08982077464049486
A,lstm_koopman,all_conditions,84,30,0.05720149606943373,0.007416943511643255,0.43291322576696856,0.030506097685847382,0.010197965271520728,0.2011538095465204
A,lstm_koopman,all_conditions,84,50,0.15687413251044943,0.013702713631244501,1.1100192310404675,0.07481811433602367,0.01339512595475363,0.5418139408147695
A,lstm_koopman,all_conditions,84,60,0.23251995015709837,0.015966579684734094,1.414444638044925,0.10725038206101571,0.017051823687742985,0.71333470769814
A,lstm_koopman,all_conditions,84,100,0.7295171200209959,0.018365752448199286,2.3976777671833207,0.323062204893112,0.03480811193899858,1.2305205350685988
